,NCT_72_33_32_smRNA_S31,NCT_72_33_53_smRNA_S44,NCT_72_38_71_smRNA_S47,NCT_72_38_73_smRNA_S48,NCT_72_43_21_smRNA_S29,NCT_72_43_22_smRNA_S30,RBC2_72_38_11_smRNA_S25,RBC2_72_38_12_smRNA_S26,RBC2_72_43_41_smRNA_S42,RBC2_72_43_42_smRNA_S43
novel:OW982297.1_22048,5.75889039609078,5.52983207184591,4.08323532037193,3.03898315731476,3.89850398894404,3.4806238166822,4.32966226356475,4.77137128143436,4.88073966251271,5.34463573838801
novel:OW982297.1_22163,7.46634122260638,5.97951857831161,4.08323532037193,5.07868831684537,3.89850398894404,4.86681197029452,6.01172660070274,4.9376500046875,3.49103799263235,5.2081574612297
known:OW982297.1_22176,8.70271897055425,8.8193482912013,8.32253285414703,9.31981271941295,9.27883703180776,8.26027702820325,9.04673961741467,9.27104916469158,8.80884412639008,8.88701918136133
novel:OW982297.1_22208,6.98472123003546,6.24357278687141,6.69452131577297,5.89162724189269,4.88369807364321,4.86681197029452,6.40447544305024,6.83355057387788,5.5752689198612,5.05740645831803
known:OW982297.1_22209,10.2257419474019,10.6098703538475,10.6458106078802,10.0101196822921,9.27032971708928,9.50813356485205,10.0468501620007,10.0198513850801,9.37379762987736,9.19754945721945
known:OW982297.1_22337,6.02910209414663,5.77212570422563,6.63289392893985,6.89533793931585,7.08143964159465,6.85363913758354,6.53584000057252,7.06683812855903,6.67709867036663,7.36928726954996
known:OW982297.1_21451,10.1498691673469,10.0783788338148,10.0090598484813,10.0969059636506,10.4159547098647,10.1625494561105,10.0632769613135,10.1140655103215,10.3373462883165,10.2632678055053
novel:OW982297.1_22547,6.35817195148721,6.32184354824176,5.270762576247,4.88417709131575,1.98428374255877,1.98428374255877,4.81674962516167,4.77137128143436,3.49103799263235,1.98428374255877
known:OW982298.1_23877,9.72466722636242,10.0208788177664,9.6454733115211,9.67610753168973,8.5841293925942,8.02111147113689,9.15288364887467,9.5076326999567,7.86725807505518,7.46223912860691
novel:OW982298.1_24178,5.60208252717399,6.71893048903957,7.84033101214164,7.48153522128565,7.22922175900804,6.98254401483825,7.29819717676884,6.60542121818919,7.62250386010708,7.16322412270237
known:OW982298.1_24281,3.2530367377353,5.52983207184591,7.24048051690996,6.40842797827581,3.49325335230059,5.32146737274346,6.18185294733188,6.91557666135826,6.57052305494541,6.63400108933288
known:OW982298.1_24282,1.98428374255877,5.39149233703692,7.01749242548531,6.40842797827581,2.92766762638965,5.32146737274346,6.01172660070274,6.79071965428475,6.51412966122707,6.5797146844421
novel:OW982298.1_24345,11.558209806691,9.66322225484274,9.45384606400323,9.43977723918872,10.1405909228008,9.97900992339213,10.8463642019933,10.7245892084871,10.1183937549468,10.1698939474878
novel:OW982298.1_24354,6.9197516560512,1.98428374255877,3.05099971697583,4.39276231858477,4.47361278181666,4.45759067645058,5.71174805057002,5.45914980851087,4.21183999590118,4.69840780429967
